commodity,asset,year,technology,installed,supply
heat,0,2035,gasboiler,2025,11.00000000000
heat,1,2035,gasboiler,2030,13.15000000000
heat,1,2040,gasboiler,2030,13.15000000000
heat,2,2040,gasboiler,2035,19.41500000000
heat,3,2035,gasboiler,2025,11.00000000000
heat,4,2035,gasboiler,2030,13.15000000000
heat,4,2040,gasboiler,2030,13.15000000000
heat,5,2040,gasboiler,2035,19.41500000000
heat,6,2035,heatpump,2030,3.85000000000
heat,6,2040,heatpump,2030,3.85000000000
heat,7,2040,heatpump,2035,0.38500000000
heat,8,2035,heatpump,2030,3.85000000000
heat,8,2040,heatpump,2030,3.85000000000
heat,9,2040,heatpump,2035,0.38500000000
CO2f,0,2035,gasboiler,2025,711.81000000000
CO2f,1,2035,gasboiler,2030,850.93650000000
CO2f,1,2040,gasboiler,2030,850.93650000000
CO2f,2,2040,gasboiler,2035,1256.34470000000
CO2f,3,2035,gasboiler,2025,711.81000000000
CO2f,4,2035,gasboiler,2030,850.93650000000
CO2f,4,2040,gasboiler,2030,850.93650000000
CO2f,5,2040,gasboiler,2035,1256.34470000000
